LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-05-02 13:09:58,1900-01-00 00:00:00,,90:D3:CF:BF:8C:1F,-40, ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:09:58,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:09:59,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:00,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:00,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:01,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:02,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:02,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:02,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:03,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:03,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:03,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:04,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:04,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:05,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:05,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:05,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:06,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:06,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:06,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:06,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:07,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:07,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:07,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:07,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:07,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:07,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:07,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:08,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:08,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:08,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:08,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:09,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:09,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:10,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:11,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:11,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:11,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:12,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:12,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:12,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:12,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:14,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:15,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-02 13:10:15,1900-01-00 00:00:00,MOVISTAR-WIFI6-8C10,90:D3:CF:BF:8C:1F,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
